Questions,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8
"If you could master any skill overnight, which would you choose?",Master a musical instrument,Speak mutiple languages fluently,Public speaking and charisma,Pro in one sport,Programming-wizz,Gourmet chef,The singing voice you always wanted,House repairs master
"If you could safely travel with some sci-fi gear to any period in the past to experience it as a tourist, where would you go?","The Roaring Twenties, the era of flappers and jazz","Ancient Egypt, during the construction of the Pyramids",,Ancient Rome,,,,
You've switched bodies with some celebrity. What would you be most excited to do as them?,,,,,,,,
