Questions,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,,,,,,,,,,,,,
Rank these 2000s pop songs,Toxic - Britney Spears,Bye Bye Bye - NSYNC,Lose Yourself - Eminem,Since U Been Gone - Kelly Clarkson,Complicated - Avril Lavigne,Umbrella - Rihanna,Hey Ya! - Outkast,,Boulevard of Broken Dreams - Green Day,Viva La Vida - Coldplay,Hollaback Girl - Gwen Stefani,It Wasn't Me - Shaggy,Crank That (Soulja Boy) - Soulja Boy,"Gold Digger - Kanye West, Jamie Foxx",Hips Don't Lie - Shakira,In Da Club - 50 Cent,Cry Me a River - Justin Timberlake,Seven Nation Army - The White Stripes,So What - P!nk,Yellow - Coldplay,She Bangs - Ricky Martin
Rank these late '90s songs,No Scrubs - TLC,Wannabe - Spice Girls,All The Small Things - Blink-182,...Baby One More Time - Britney Spears,Maria Maria - Santana,Gangsta's Paradise - Coolio,Mambo No. 5 (A Little Bit Of) - Lou Bega,Torn - Natalie Imbruglia,Kiss Me - Sixpence None The Richer,Genie in a Bottle - Christina Aguilera,,,,,,,,,,,
Rank these '80s songs,Livin' On A Prayer - Bon Jovi,I'm Gonna Be (500 Miles) - The Proclaimers,Don't Stop Believing - Journey,Uptown Girl - Billy Joel,Total Eclipse of the Heart - Bonnie Tyler,Dancing in the Dark - Bruce Springsteen,We Didn't Start the Fire - Bruce Springsteen,Summer of '69 - Bryan Adams,Africa - TOTO,Take On Me - a-ha,Every Breath You Take - The Police,Wake Me Up Before You Go-Go - Wham!,,,,,,,,,
