Questions,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,,,,,,,,,,,,,,,,,,,,,,,,,
Rank these 2000s pop songs,Toxic - Britney Spears,Bye Bye Bye - NSYNC,Lose Yourself - Eminem,Since U Been Gone - Kelly Clarkson,Complicated - Avril Lavigne,Umbrella - Rihanna,Hey Ya! - Outkast,Crazy in Love - Beyoncé feat. Jay Z,Boulevard of Broken Dreams - Green Day,Viva La Vida - Coldplay,Hollaback Girl - Gwen Stefani,It Wasn't Me - Shaggy,Crank That (Soulja Boy) - Soulja Boy,"Gold Digger - Kanye West, Jamie Foxx",Hips Don't Lie - Shakira,In Da Club - 50 Cent,Cry Me a River - Justin Timberlake,Seven Nation Army - The White Stripes,So What - P!nk,Yellow - Coldplay,She Bangs - Ricky Martin,Yeah! - Usher,Hot in Herre - Nelly,Low - Flo Rida feat. T Pain,SexyBack - Justin Timberlake,Rehab - Amy Winehouse,Bleeding Love - Leona Lewis,Poker Face - Lady Gaga,Love Story - Taylor Swift,I Write Sins Not Tragedies - Panic! At The Disco,Thnks fr th Mmrs - Fall Out Boy,Dani California - Red Hot Chili Peppers,Where is the Love? - The Black Eyed Peas
Rank these late '90s songs,No Scrubs - TLC,Wannabe - Spice Girls,All The Small Things - Blink-182,...Baby One More Time - Britney Spears,Maria Maria - Santana,Gangsta's Paradise - Coolio,Mambo No. 5 (A Little Bit Of) - Lou Bega,Torn - Natalie Imbruglia,Kiss Me - Sixpence None The Richer,Genie in a Bottle - Christina Aguilera,Smells Like Teen Spirit - Nirvana,Wonderwall - Oasis,I Will Always Love You - Whitney Houston,U Can't Touch This - MC Hammer,Under the Bridge - Red Hot Chili Peppers,My Heart Will Go On - Celine Dion,Don't Speak - No Doubt,Creep - Radiohead,Killing Me Softly with His Song - Fugees,All Star - Smash Mouth,MMBop - Hanson,Livin' la Vida Loca - Ricky Martin,Believe - Cher,I Want It That Way - Backstreet Boys,Enter Sandman - Metallica,Zombie - The Cranberries,I'll Be Missing You - Puff Daddy and Faith Evans,Iris - Goo Goo Dolls,Kiss from a Rose - Seal,I Will Survive - Gloria Gaynor,Self Esteem - The Offspring,No Diggity - Blackstreet,
Rank these 80's songs,Livin' On A Prayer - Bon Jovi,I'm Gonna Be (500 Miles) - The Proclaimers,Don't Stop Believing - Journey,Uptown Girl - Billy Joel,Total Eclipse of the Heart - Bonnie Tyler,Dancing in the Dark - Bruce Springsteen,We Didn't Start the Fire - Bruce Springsteen,Summer of '69 - Bryan Adams,Africa - TOTO,Take On Me - a-ha,Every Breath You Take - The Police,Wake Me Up Before You Go-Go - Wham!,Billie Jean - Michael Jackson,Like a Virgin - Madonna,Sweet Child o' Mine - Guns N' Roses,I Wanna Dance with Somebody (Who Loves Me) - Whitney Houston,Faith - George Michael,Girls Just Wanna Have Fun - Cyndi Lauper,Another One Bites the Dust - Queen,Jump - Van Halen,Under Pressure - Queen,Careless Whisper - George Michael,Eye of the Tiger - Survivor,Jessie's Girl - Rick Springfield,Come On Eileen - Dexys Midnight Runners,Footloose - Kenny Loggins,Let's Dance - David Bowie,I Want to Know What Love Is - Foreigner,I Love Rock 'n Roll - Joan Jett & the Blackhearts,Never Gonna Give You Up - Rick Astley,Physical - Olivia Newton-John,,
Rank these 80's artists,Michael Jackson,Madonna,Prince,Queen,Bon Jovi,Whitney Houston,David Bowie,The Police,Journey,Bruce Springsteen,Guns N' Roses,Aerosmith,Metallica,AC/DC,,,,,,,,,,,,,,,,,,,
Rank these 70's artists,Led Zeppelin,Pink Floyd,Fleetwood Mac,The Rolling Stones,Elton John,ABBA,Black Sabbath,The Eagles,,,,,,,,,,,,,,,,,,,,,,,,,
Rank these 60's artists,The Beatles,Simon and Garfunkel,The Beach Boys,Elvis Presley,Bob Dylan,The Jackson 5,Ray Charles,Bee Gees,,,,,,,,,,,,,,,,,,,,,,,,,
